,time,open,high,low,close,volume
226,2024-11-28,66.19,66.29,65.69,66.09,643178
227,2024-11-29,66.29,66.29,65.89,66.29,499804
228,2024-12-02,66.38,66.88,65.69,65.89,520063
229,2024-12-03,66.19,67.57,65.6,66.88,1035645
230,2024-12-04,67.08,67.08,66.29,66.29,492089
231,2024-12-05,66.29,67.67,66.29,67.47,1133528
232,2024-12-06,67.47,67.57,66.88,66.88,544436
233,2024-12-09,67.37,67.37,66.58,66.88,565276
234,2024-12-10,67.08,67.57,66.48,66.48,444921
235,2024-12-11,66.48,66.68,65.6,65.69,700559
236,2024-12-12,65.69,66.19,65.1,65.1,444534
237,2024-12-13,65.2,65.99,65.0,65.6,299749
238,2024-12-16,65.6,65.89,65.1,65.3,234786
239,2024-12-17,65.3,65.99,65.1,65.6,275875
240,2024-12-18,65.6,66.88,65.5,66.88,807547
241,2024-12-19,66.09,67.27,65.89,66.38,732751
242,2024-12-20,66.38,67.27,66.29,66.78,583062
243,2024-12-23,67.47,67.47,66.88,67.08,443423
244,2024-12-24,67.08,67.08,66.48,66.58,445862
245,2024-12-25,66.58,68.75,66.58,67.77,1078560
246,2024-12-26,67.86,67.96,67.08,67.08,372493
247,2024-12-27,67.47,67.47,66.78,67.08,413683
248,2024-12-30,66.58,67.17,66.09,66.09,412076
249,2024-12-31,66.29,66.98,65.69,66.98,402044
250,2025-01-02,66.98,66.98,65.89,66.09,341740
251,2025-01-03,66.38,66.38,64.12,64.51,662457
252,2025-01-06,64.51,64.81,63.03,63.13,842876
253,2025-01-07,63.52,64.12,62.83,63.92,465093
254,2025-01-08,63.92,63.92,63.03,63.23,434273
255,2025-01-09,63.23,63.72,62.93,63.52,156123
256,2025-01-10,63.92,63.92,63.03,63.43,338632
257,2025-01-13,63.43,64.12,62.93,64.12,323039
258,2025-01-14,64.21,64.51,63.72,64.51,230548
259,2025-01-15,64.12,64.51,63.92,64.02,357840
260,2025-01-16,64.02,64.71,63.92,64.71,234809
261,2025-01-17,64.71,65.99,64.61,65.79,567028
262,2025-01-20,65.79,66.09,64.51,65.99,387124
263,2025-01-21,66.09,66.09,65.1,65.1,278404
264,2025-01-22,65.3,65.3,64.41,64.51,411778
265,2025-01-23,64.51,65.0,64.41,65.0,339998
266,2025-01-24,65.1,65.1,64.12,64.12,1194291
267,2025-02-03,64.31,64.41,63.72,64.41,186608
268,2025-02-04,64.81,65.5,64.51,65.1,397373
269,2025-02-05,65.2,65.79,65.1,65.6,338249
270,2025-02-06,65.89,65.89,65.1,65.1,394631
271,2025-02-07,65.3,66.48,65.3,65.89,810050
272,2025-02-10,65.99,65.99,65.5,65.89,513605
273,2025-02-11,66.09,66.58,65.79,66.58,576757
274,2025-02-12,66.88,67.47,66.58,67.08,664358
